,Title (Crit),Author (Crit),Original Rank,Crit Rating (user score),Crit Total Ratings (user),Title (User),Author (User),Rating (user),Total Ratings (user)
76,THE PRIME OF MISS JEAN BRODIE , Muriel Spark,78,376,29739,One Lonely Night ,Mickey Spillane,361,476
77,FINNEGANS WAKE , James Joyce,79,366,9900,Memory and Dream , Charles de Lint,422,4345
78,KIM , Rudyard Kipling,80,372,25987,Trader , Charles de Lint,406,2467
79,A ROOM WITH A VIEW , E.M. Forster,81,391,119812,Greenmantle ,Charles de Lint,399,2888
80,BRIDESHEAD REVISITED , Evelyn Waugh,82,399,73897,The Little Country ,Charles de Lint,406,3614
81,THE ADVENTURES OF AUGIE MARCH , Saul Bellow,43,385,13371,The Recognitions ,William Gaddis,422,3611
82,ANGLE OF REPOSE , Wallace Stegner,83,427,41181,Starship Troopers ,Robert A. Heinlein,399,141075
83,A BEND IN THE RIVER , V.S. Naipaul,84,377,11776,Something Wicked This Way Comes , Ray Bradbury,395,69968
84,THE DEATH OF THE HEART , Elizabeth Bowen,85,370,4882,Tropic of Cancer ,Henry Miller,371,48231
85,LORD JIM , Joseph Conrad,86,361,22186,The Wood Wife , Terri Windling,420,2674
86,RAGTIME , E.L. Doctorow,87,387,29572,At the Mountains of Madness and Other Tales of Terror ,H.P. Lovecraft,425,19410
87,THE OLD WIVESäó» TALE , Arnold Bennett,88,380,3281,The Door Into Summer ,Robert A. Heinlein,400,17591
88,THE CALL OF THE WILD , Jack London,89,382,241069,Guilty Pleasures , Laurell K. Hamilton,402,112873
89,LOVING , Henry Green,90,357,2573,The Hunt for Read October , Tom Clancy,401,271871
90,MIDNIGHT'S CHILDREN , Salman Rushdie,35,399,82618,The Puppet Master , Peter O'Donnel,425,75
91,TOBACCO ROAD , Erskine Caldwell,91,373,11499,The Puppet Masters ,Robert A. Heinlein,386,25639
92,IRONWEED , William Kennedy,92,386,13208,V. ,Thomas Pynchon,397,15702
93,THE MAGUS , John Fowles,27,404,36138,Double Star ,Robert A. Heinlein,388,15323
94,WIDE SARGASSO SEA , Jean Rhys,93,356,43627,Citizen of the Galaxy ,Robert A. Heinlein,397,10820
95,UNDER THE NET , Iris Murdoch,94,376,9789,Sometimes a Great Notion ,Ken Kesey,424,16210
96,SOPHIE'S CHOICE , William Styron,95,418,69808,Mulengro ,Charles de Lint,386,1219
97,THE SHELTERING SKY , Paul Bowles,100,392,19258,Suttree ,Cormac McCarthy,418,13515
98,THE POSTMAN ALWAYS RINGS TWICE , James M. Cain,96,381,22352,Mythago Wood , Robert Holdstock,383,6510
99,THE GINGER MAN , J.P. Donleavy,97,367,8019,Illusions: The Adventures of a Reluctant Messiah ,Richard Bach,413,46366
100,THE MAGNIFICENT AMBERSONS , Booth Tarkington,98,374,7868,The Cunning Man , Robertson Davies,392,2231
